AsOfDate,Io_Bonds,Europa_Bonds,Callisto_Bonds,Ganymede_Bonds,Io_Stocks,Europa_Stocks,Callisto_Stocks,Ganymede_Stocks,Europa_Io_FX,Callisto_Io_FX,Ganymede_Io_FX,Oil,Copper,Gold
1990-12-06,,,,,,,,,,,,,,
1990-12-07,,,,,,,,,,,,,,
1990-12-10,,,,,,,,,,,,,,
1990-12-11,,,,,,,,,,,,,,
1990-12-12,,,,,,,,,,,,,,
1990-12-13,,,,,,,,,,,,,,
1990-12-14,,,,,,,,,,,,,,
1990-12-17,,,,,,,,,,,,,,
1990-12-18,,,,,,,,,,,,,,
1990-12-19,,,,,,,,,,,,,,
1990-12-20,,,,,,,,,,,,,,
1990-12-21,,,,,,,,,,,,,,
1990-12-26,,,,,,,,,,,,,,
1990-12-27,,,,,,,,,,,,,,
1990-12-28,,,,,,,,,,,,,,
1990-12-31,,,,,,,,,,,,,,
1991-01-02,,,,,,,,,,,,,,
1991-01-03,,,,,,,,,,,,,,
1991-01-04,,,,,,,,,,,,,,
1991-01-07,,,,,,,,,,,,,,
1991-01-08,,,,,,,,,,,,,,
1991-01-09,,,,,,,,,,,,,,
1991-01-10,,,,,,,,,,,,,,
1991-01-11,,,,,,,,,,,,,,
1991-01-14,,,,,,,,,,,,,,
1991-01-15,,,,,,,,,,,,,,
1991-01-16,,,,,,,,,,,,,,
1991-01-17,,,,,,,,,,,,,,
1991-01-18,,,,,,,,,,,,,,
1991-01-21,,,,,,,,,,,,,,
1991-01-22,,,,,,,,,,,,,,
1991-01-23,,,,,,,,,,,,,,
1991-01-24,,,,,,,,,,,,,,
1991-01-25,,,,,,,,,,,,,,
1991-01-28,,,,,,,,,,,,,,
1991-01-29,,,,,,,,,,,,,,
1991-01-30,,,,,,,,,,,,,,
1991-01-31,,,,,,,,,,,,,,
1991-02-01,,,,,,,,,,,,,,
1991-02-04,,,,,,,,,,,,,,
1991-02-05,,,,,,,,,,,,,,
1991-02-06,,,,,,,,,,,,,,
1991-02-07,,,,,,,,,,,,,,
1991-02-08,,,,,,,,,,,,,,
1991-02-11,,,,,,,,,,,,,,
1991-02-12,,,,,,,,,,,,,,
1991-02-13,,,,,,,,,,,,,,
1991-02-14,,,,,,,,,,,,,,
1991-02-15,,,,,,,,,,,,,,
1991-02-18,,,,,,,,,,,,,,
1991-02-19,,,,,,,,,,,,,,
1991-02-20,,,,,,,,,,,,,,
1991-02-21,,,,,,,,,,,,,,
1991-02-22,,,,,,,,,,,,,,
1991-02-25,,,,,,,,,,,,,,
1991-02-26,,,,,,,,,,,,,,
1991-02-27,,,,,,,,,,,,,,
1991-02-28,,,,,,,,,,,,,,
1991-03-01,,,,,,,,,,,,,,
1991-03-04,,,,,,,,,,,,,,
1991-03-05,,,,,,,,,,,,,,
1991-03-06,,,,,,,,,,,,,,
1991-03-07,,,,,,,,,,,,,,
1991-03-08,,,,,,,,,,,,,,
1991-03-11,,,,,,,,,,,,,,
1991-03-12,,,,,,,,,,,,,,
1991-03-13,,,,,,,,,,,,,,
1991-03-14,,,,,,,,,,,,,,
1991-03-15,,,,,,,,,,,,,,
1991-03-18,,,,,,,,,,,,,,
1991-03-19,,,,,,,,,,,,,,
1991-03-20,,,,,,,,,,,,,,
1991-03-21,,,,,,,,,,,,,,
1991-03-22,,,,,,,,,,,,,,
1991-03-25,,,,,,,,,,,,,,
1991-03-26,,,,,,,,,,,,,,
1991-03-27,,,,,,,,,,,,,,
1991-03-28,,,,,,,,,,,,,,
1991-03-29,,,,,,,,,,,,,,
1991-04-01,,,,,,,,,,,,,,
1991-04-02,,,,,,,,,,,,,,
1991-04-03,,,,,,,,,,,,,,
1991-04-04,,,,,,,,,,,,,,
1991-04-05,,,,,,,,,,,,,,
1991-04-08,,,,,,,,,,,,,,
1991-04-09,,,,,,,,,,,,,,
1991-04-10,,,,,,,,,,,,,,
1991-04-11,,,,,,,,,,,,,,
1991-04-12,,,,,,,,,,,,,,
1991-04-15,,,,,,,,,,,,,,
1991-04-16,,,,,,,,,,,,,,
1991-04-17,,,,,,,,,,,,,,
1991-04-18,,,,,,,,,,,,,,
1991-04-19,,,,,,,,,,,,,,
1991-04-22,,,,,,,,,,,,,,
1991-04-23,,,,,,,,,,,,,,
1991-04-24,,,,,,,,,,,,,,
1991-04-25,,,,,,,,,,,,,,
1991-04-26,,,,,,,,,,,,,,
1991-04-29,,,,,,,,,,,,,,
1991-04-30,,,,,,,,,,,,,,
1991-05-01,,,,,,,,,,,,,,
1991-05-02,,,,,,,,,,,,,,
1991-05-03,,,,,,,,,,,,,,
1991-05-06,,,,,,,,,,,,,,
1991-05-07,,,,,,,,,,,,,,
1991-05-08,,,,,,,,,,,,,,
1991-05-09,,,,,,,,,,,,,,
1991-05-10,,,,,,,,,,,,,,
1991-05-13,,,,,,,,,,,,,,
1991-05-14,,,,,,,,,,,,,,
1991-05-15,,,,,,,,,,,,,,
1991-05-16,,,,,,,,,,,,,,
1991-05-17,,,,,,,,,,,,,,
1991-05-20,,,,,,,,,,,,,,
1991-05-21,,,,,,,,,,,,,,
1991-05-22,,,,,,,,,,,,,,
1991-05-23,,,,,,,,,,,,,,
1991-05-24,,,,,,,,,,,,,,
1991-05-27,,,,,,,,,,,,,,
1991-05-28,,,,,,,,,,,,,,
1991-05-29,,,,,,,,,,,,,,
1991-05-30,,,,,,,,,,,,,,
1991-05-31,,,,,,,,,,,,,,
1991-06-03,,,,,,,,,,,,,,
1991-06-04,,,,,,,,,,,,,,
1991-06-05,,,,,,,,,,,,,,
1991-06-06,,,,,,,,,,,,,,
1991-06-07,,,,,,,,,,,,,,
1991-06-10,,,,,,,,,,,,,,
1991-06-11,,,,,,,,,,,,,,
1991-06-12,,,,,,,,,,,,,,
1991-06-13,,,,,,,,,,,,,,
1991-06-14,,,,,,,,,,,,,,
1991-06-17,,,,,,,,,,,,,,
1991-06-18,,,,,,,,,,,,,,
1991-06-19,,,,,,,,,,,,,,
1991-06-20,,,,,,,,,,,,,,
1991-06-21,,,,,,,,,,,,,,
1991-06-24,,,,,,,,,,,,,,
1991-06-25,,,,,,,,,,,,,,
1991-06-26,,,,,,,,,,,,,,
1991-06-27,,,,,,,,,,,,,,
1991-06-28,,,,,,,,,,,,,,
1991-07-01,,,,,,,,,,,,,,
1991-07-02,,,,,,,,,,,,,,
1991-07-03,,,,,,,,,,,,,,
1991-07-04,,,,,,,,,,,,,,
1991-07-05,,,,,,,,,,,,,,
1991-07-08,,,,,,,,,,,,,,
1991-07-09,,,,,,,,,,,,,,
1991-07-10,,,,,,,,,,,,,,
1991-07-11,,,,,,,,,,,,,,
1991-07-12,,,,,,,,,,,,,,
1991-07-15,,,,,,,,,,,,,,
1991-07-16,,,,,,,,,,,,,,
1991-07-17,,,,,,,,,,,,,,
1991-07-18,,,,,,,,,,,,,,
1991-07-19,,,,,,,,,,,,,,
1991-07-22,,,,,,,,,,,,,,
1991-07-23,,,,,,,,,,,,,,
1991-07-24,,,,,,,,,,,,,,
1991-07-25,,,,,,,,,,,,,,
1991-07-26,,,,,,,,,,,,,,
1991-07-29,,,,,,,,,,,,,,
1991-07-30,,,,,,,,,,,,,,
1991-07-31,,,,,,,,,,,,,,
1991-08-01,,,,,,,,,,,,,,
1991-08-02,,,,,,,,,,,,,,
1991-08-05,,,,,,,,,,,,,,
1991-08-06,,,,,,,,,,,,,,
1991-08-07,,,,,,,,,,,,,,
1991-08-08,,,,,,,,,,,,,,
1991-08-09,,,,,,,,,,,,,,
1991-08-12,,,,,,,,,,,,,,
1991-08-13,,,,,,,,,,,,,,
1991-08-14,,,,,,,,,,,,,,
1991-08-15,,,,,,,,,,,,,,
1991-08-16,,,,,,,,,,,,,,
1991-08-19,,,,,,,,,,,,,,
1991-08-20,,,,,,,,,,,,,,
1991-08-21,,,,,,,,,,,,,,
1991-08-22,,,,,,,,,,,,,,
1991-08-23,,,,,,,,,,,,,,
1991-08-26,,,,,,,,,,,,,,
1991-08-27,,,,,,,,,,,,,,
1991-08-28,,,,,,,,,,,,,,
1991-08-29,,,,,,,,,,,,,,
1991-08-30,,,,,,,,,,,,,,
1991-09-02,,,,,,,,,,,,,,
1991-09-03,,,,,,,,,,,,,,
1991-09-04,,,,,,,,,,,,,,
1991-09-05,,,,,,,,,,,,,,
1991-09-06,,,,,,,,,,,,,,
1991-09-09,,,,,,,,,,,,,,
1991-09-10,,,,,,,,,,,,,,
1991-09-11,,,,,,,,,,,,,,
1991-09-12,,,,,,,,,,,,,,
1991-09-13,,,,,,,,,,,,,,
1991-09-16,,,,,,,,,,,,,,
1991-09-17,,,,,,,,,,,,,,
1991-09-18,,,,,,,,,,,,,,
1991-09-19,,,,,,,,,,,,,,
1991-09-20,,,,,,,,,,,,,,
1991-09-23,,,,,,,,,,,,,,
1991-09-24,,,,,,,,,,,,,,
1991-09-25,,,,,,,,,,,,,,
1991-09-26,,,,,,,,,,,,,,
1991-09-27,,,,,,,,,,,,,,
1991-09-30,,,,,,,,,,,,,,
1991-10-01,,,,,,,,,,,,,,
1991-10-02,,,,,,,,,,,,,,
1991-10-03,,,,,,,,,,,,,,
1991-10-04,,,,,,,,,,,,,,
1991-10-07,,,,,,,,,,,,,,
1991-10-08,,,,,,,,,,,,,,
1991-10-09,,,,,,,,,,,,,,
1991-10-10,,,,,,,,,,,,,,
1991-10-11,,,,,,,,,,,,,,
1991-10-14,,,,,,,,,,,,,,
1991-10-15,,,,,,,,,,,,,,
1991-10-16,,,,,,,,,,,,,,
1991-10-17,,,,,,,,,,,,,,
1991-10-18,,,,,,,,,,,,,,
1991-10-21,,,,,,,,,,,,,,
1991-10-22,,,,,,,,,,,,,,
1991-10-23,,,,,,,,,,,,,,
1991-10-24,,,,,,,,,,,,,,
1991-10-25,,,,,,,,,,,,,,
1991-10-28,,,,,,,,,,,,,,
1991-10-29,,,,,,,,,,,,,,
1991-10-30,,,,,,,,,,,,,,
1991-10-31,,,,,,,,,,,,,,
1991-11-01,,,,,,,,,,,,,,
1991-11-04,,,,,,,,,,,,,,
1991-11-05,,,,,,,,,,,,,,
1991-11-06,,,,,,,,,,,,,,
1991-11-07,,,,,,,,,,,,,,
1991-11-08,,,,,,,,,,,,,,
1991-11-11,,,,,,,,,,,,,,
1991-11-12,,,,,,,,,,,,,,
1991-11-13,,,,,,,,,,,,,,
1991-11-14,,,,,,,,,,,,,,
1991-11-15,,,,,,,,,,,,,,
1991-11-18,,,,,,,,,,,,,,
1991-11-19,,,,,,,,,,,,,,
1991-11-20,,,,,,,,,,,,,,
1991-11-21,,,,,,,,,,,,,,
1991-11-22,,,,,,,,,,,,,,
1991-11-25,,,,,,,,,,,,,,
1991-11-26,,,,,,,,,,,,,,
1991-11-27,,,,,,,,,,,,,,
1991-11-28,,,,,,,,,,,,,,
1991-11-29,,,,,,,,,,,,,,
1991-12-02,,,,,,,,,,,,,,
1991-12-03,,,,,,,,,,,,,,
1991-12-04,,,,,,,,,,,,,,
1991-12-05,,,,,,,,,,,,,,
1991-12-06,,,,,,,,,,,,,,
1991-12-09,,,,,,,,,,,,,,
1991-12-10,,,,,,,,,,,,,,
1991-12-11,,,,,,,,,,,,,,
1991-12-12,,,,,,,,,,,,,,
1991-12-13,,,,,,,,,,,,,,
1991-12-16,,,,,,,,,,,,,,
1991-12-17,,,,,,,,,,,,,,
1991-12-18,,,,,,,,,,,,,,
1991-12-19,,,,,,,,,,,,,,
1991-12-20,,,,,,,,,,,,,,
1991-12-23,,,,,,,,,,,,,,
1991-12-26,,,,,,,,,,,,,,
1991-12-27,,,,,,,,,,,,,,
1991-12-30,,,,,,,,,,,,,,
1992-01-02,,,,,,,,,,,,,,
1992-01-03,,,,,,,,,,,,,,
1992-01-06,,,,,,,,,,,,,,
1992-01-07,,,,,,,,,,,,,,
1992-01-08,,,,,,,,,,,,,,
1992-01-09,,,,,,,,,,,,,,
1992-01-10,,,,,,,,,,,,,,
1992-01-13,,,,,,,,,,,,,,
1992-01-14,,,,,,,,,,,,,,
1992-01-15,,,,,,,,,,,,,,
1992-01-16,,,,,,,,,,,,,,
1992-01-17,,,,,,,,,,,,,,
1992-01-20,,,,,,,,,,,,,,
1992-01-21,,,,,,,,,,,,,,
1992-01-22,,,,,,,,,,,,,,
1992-01-23,,,,,,,,,,,,,,
1992-01-24,,,,,,,,,,,,,,
1992-01-27,,,,,,,,,,,,,,
1992-01-28,,,,,,,,,,,,,,
1992-01-29,,,,,,,,,,,,,,
1992-01-30,,,,,,,,,,,,,,
1992-01-31,,,,,,,,,,,,,,
1992-02-03,,,,,,,,,,,,,,
1992-02-04,,,,,,,,,,,,,,
1992-02-05,,,,,,,,,,,,,,
1992-02-06,,,,,,,,,,,,,,
1992-02-07,,,,,,,,,,,,,,
1992-02-10,,,,,,,,,,,,,,
1992-02-11,,,,,,,,,,,,,,
1992-02-12,,,,,,,,,,,,,,
1992-02-13,,,,,,,,,,,,,,
1992-02-14,,,,,,,,,,,,,,
1992-02-17,,,,,,,,,,,,,,
1992-02-18,,,,,,,,,,,,,,
1992-02-19,,,,,,,,,,,,,,
1992-02-20,,,,,,,,,,,,,,
1992-02-21,,,,,,,,,,,,,,
1992-02-24,,,,,,,,,,,,,,
1992-02-25,,,,,,,,,,,,,,
1992-02-26,,,,,,,,,,,,,,
1992-02-27,,,,,,,,,,,,,,
1992-02-28,,,,,,,,,,,,,,
1992-03-02,,,,,,,,,,,,,,
1992-03-03,,,,,,,,,,,,,,
1992-03-04,,,,,,,,,,,,,,
1992-03-05,,,,,,,,,,,,,,
1992-03-06,,,,,,,,,,,,,,
1992-03-09,,,,,,,,,,,,,,
1992-03-10,,,,,,,,,,,,,,
1992-03-11,,,,,,,,,,,,,,
1992-03-12,,,,,,,,,,,,,,
1992-03-13,,,,,,,,,,,,,,
1992-03-16,,,,,,,,,,,,,,
1992-03-17,,,,,,,,,,,,,,
1992-03-18,,,,,,,,,,,,,,
1992-03-19,,,,,,,,,,,,,,
1992-03-20,,,,,,,,,,,,,,
1992-03-23,,,,,,,,,,,,,,
1992-03-24,,,,,,,,,,,,,,
1992-03-25,,,,,,,,,,,,,,
1992-03-26,,,,,,,,,,,,,,
1992-03-27,,,,,,,,,,,,,,
1992-03-30,,,,,,,,,,,,,,
1992-03-31,,,,,,,,,,,,,,
1992-04-01,,,,,,,,,,,,,,
1992-04-02,,,,,,,,,,,,,,
1992-04-03,,,,,,,,,,,,,,
1992-04-06,,,,,,,,,,,,,,
1992-04-07,,,,,,,,,,,,,,
1992-04-08,,,,,,,,,,,,,,
1992-04-09,,,,,,,,,,,,,,
1992-04-10,,,,,,,,,,,,,,
1992-04-13,,,,,,,,,,,,,,
1992-04-14,,,,,,,,,,,,,,
1992-04-15,,,,,,,,,,,,,,
1992-04-16,,,,,,,,,,,,,,
1992-04-17,,,,,,,,,,,,,,
1992-04-20,,,,,,,,,,,,,,
1992-04-21,,,,,,,,,,,,,,
1992-04-22,,,,,,,,,,,,,,
1992-04-23,,,,,,,,,,,,,,
1992-04-24,,,,,,,,,,,,,,
1992-04-27,,,,,,,,,,,,,,
1992-04-28,,,,,,,,,,,,,,
1992-04-29,,,,,,,,,,,,,,
1992-04-30,2.5389817760992486,2.538981657173337,2.538981493011674,2.5389790420656566,1.658337218902697,-0.5390583442109861,-0.5390945100862553,-4.475188681612217,-0.13464708766847472,0.8662019884282484,0.8662022400775163,0.2599475465555943,0.25994817803427184,0.2599480557374527
1992-05-01,2.5389818514714526,5.077962352151538,7.6169428527744225,4.117094019695331,1.6223962340980345,-0.48053313415876786,-1.0196279630729206,-5.494817265293928,-0.34183717915915257,0.5243883053942907,1.390590603173481,0.26703578339090756,0.5269842008285273,0.7869321917568273
1992-05-04,2.538981928661486,4.556958903062463,10.000749616613552,4.449408635236126,1.7047812589962157,-0.36305099530914553,-1.3826789227431915,-6.877496461836678,-0.44003740626996285,0.27190618740523104,1.6624969091772162,0.2403252008089948,0.7673098537422212,1.5542417849064114
1992-05-05,2.5389820206705154,5.389235099180127,10.728912712044695,4.963085424827566,1.8008763173120752,-0.24023941630547516,-1.6229172050637357,-8.500413396876533,-0.5840577259675741,0.13281665019408706,1.7953136208702076,0.21167495080432053,0.9789849891170106,2.5332265309218154
1992-05-06,2.5389820731191204,5.909455340304825,11.27644373097558,5.359606858851341,1.8446305518025932,-0.19114945371644249,-1.1844780184083996,-9.684890962887847,-0.6183756373711852,0.07851160222190252,1.8738252448836854,0.17280793225387214,1.1517928797045154,3.6850191656031765
1992-05-07,2.538982161057502,6.248376082397332,11.649049468929057,5.618198361738254,1.861631455301577,-0.19025689520158187,-0.6039301070620967,-10.288819496973373,-0.5854558606205328,0.06947453727055058,1.9432998152425804,0.12169218946115545,1.2734845101278889,4.958497888619513
1992-05-08,2.5389822138464395,6.655852450015366,12.028652816003007,5.847301448543912,1.877224605343563,-0.18539315855887736,-0.3116492449819626,-10.600466892613522,-0.5730460054982158,0.048071294277663434,1.9913711230169695,0.11243844361834884,1.3859225012144778,5.300516042684216
1992-05-11,2.5389822373102957,7.1002879681769535,12.417370124833655,6.064370526305447,1.8938262440834284,-0.1810513753510869,-0.16821139970618834,-10.768677219304076,-0.57140367179373,0.027584406944909514,2.018955534636427,0.10962660413970926,1.4955488674577144,5.487023676091934
