dates,diamonds,butter,cars,cucumber,bananas
2000-07-05,-0.7239404582300389,0.55314599704,-0.45527910144583233,1.258607631481657,0.2069789398328608
2000-07-06,-0.7232840246636209,0.5483451730803278,-0.4533930618288002,1.2377033887831643,0.20702373733788418
2000-07-07,-0.725619287588753,0.567495855172603,-0.44249043817532807,-1.238204249791425,0.20783890131751878
2000-07-10,-0.735975656353295,0.5983853293692996,-0.4385977989912332,-1.2453821612638354,0.20700230399483416
2000-07-11,-0.7360348628284021,0.5944536324384954,-0.435336307003136,0.0,0.20627129406582623
2000-07-12,-0.7358913566398629,0.5942520724791459,-0.4355521739975276,-1.2380543071804508,0.20631234476065702
2000-07-13,-0.7428731672590102,0.5942520724791459,-0.42316914706706926,-1.2402805633519904,0.20526052138007367
2000-07-14,-0.7441005551141059,0.5912281623125945,-0.40829327325073933,-1.2417790828579747,0.20369183522799988
2000-07-17,-0.749811024572425,0.5970567434203952,0.40768478390286256,-1.2484122101114783,0.2034617727214336
2000-07-18,-0.7497503278527206,0.5827569156881572,0.40324800065112876,-1.2473133739400588,0.2032056234876256
2000-07-19,-0.7443307626666796,0.5793012618958521,0.40241621383067966,-1.2473104631125158,0.20305192620422385
2000-07-20,-0.7439485745050404,0.5638190703388093,0.4010546524791042,-1.2357711083121523,0.20266138726974467
2000-07-21,-0.7467910025177905,0.5565901600296432,0.4006589045133569,-1.2377375190912627,0.2018344457720025
2000-07-24,-0.7574659972979235,0.557719192921752,0.39947559306550023,-1.2628124980392366,0.20139592777820395
2000-07-25,-0.7685359902271458,0.5564539061270213,0.40047280497282234,-1.2533139132454347,0.20120045432557704
2000-07-26,-0.7652540827177022,0.5574158524266792,0.40042628046439876,-1.259214170180773,0.20465026961873678
2000-07-27,-0.7568129874524078,0.5651542487265805,0.40090172803610974,-1.2323272940686034,0.20492154793613568
2000-07-28,-0.7551952526347454,0.5745965062995732,0.3939343193094556,-1.236347101711096,0.20361986874994342
2000-07-31,-0.7510109073879928,0.580420690000845,0.3937708003075099,-1.214331097660747,0.20526258396202232
2000-08-01,-0.7498687844430738,0.5805302216440352,0.3933517995096753,-1.2144788534680298,0.204694082045532
2000-08-02,-0.7600972384666252,0.5841017866518513,-0.39259846362608214,-1.1743934642302956,0.2045853144163672
2000-08-03,-0.7594700389702004,0.5775262489984955,-0.3932942674836144,-1.2443182714383303,0.20467977775305654
2000-08-04,-0.8191318715950501,0.574267358891749,-0.39355112052151336,-1.2744107543050796,0.20475523067428544
2000-08-07,-0.8181621453376523,0.5807674919058506,-0.3990853865327705,-1.272227564175604,0.20462489100420053
2000-08-08,-0.8231361605462252,0.5813442594422219,-0.4051845231375604,-1.2860430692207125,0.20442136425151314
2000-08-09,-0.8248088234800913,0.5818119348263813,-0.4039977023261627,-1.2604208721111207,0.20468422394002844
2000-08-10,-0.8011341833961962,0.5789293296811285,-0.39747850818773206,-1.2701436569896052,0.20439587855876049
2000-08-11,-0.7888820260346776,0.5742087536362118,-0.39803477043781643,-1.2628094773481382,0.20247886791696595
2000-08-14,-0.7895800987825823,0.5776087106371879,-0.398721135355021,-1.2686708862423055,0.20197488691476365
2000-08-15,-0.7871875907688396,0.57719896669116,-0.39862862092988616,-1.267493296784348,0.2020983139581118
2000-08-16,-0.7670468867547626,0.5850185399627582,-0.40261153051037163,-1.2707885829483092,0.19944022292887512
2000-08-17,-0.7752550628381999,0.5803576396359059,0.40307552656431667,-1.2705208553369554,0.1986264798644199
2000-08-18,0.7762709505711929,0.5858704339391543,-0.40372334969772866,-1.2721235883117383,0.1980579455442059
2000-08-21,0.7881716020621675,0.5857751374030761,-0.402544947428912,-1.2836166707483787,0.19808938724964112
2000-08-22,0.7936772899965522,0.5779646832466298,-0.40032577354978915,-1.284845119762105,0.19782645666889834
2000-08-23,0.7808826178553077,0.5781391966250488,-0.3955583245555616,-1.292818609917344,0.19793077740478354
2000-08-24,0.7808178675000278,0.5794546132243984,0.3976579787485226,-1.2985315742610588,-0.19627727698845038
2000-08-25,0.7810228861674439,0.5811356205546129,-0.3957970086854629,-1.28641226183219,-0.19752378634350512
2000-08-28,0.7914518812055983,0.5788659881491786,0.39494335245994405,-1.283849381699376,-0.20451108837266022
2000-08-29,0.7928117839543157,0.5792064142455619,-0.3949174815895114,-1.2837975396683954,-0.20153928997993759
2000-08-30,-0.7905637328856793,0.5704430452338932,-0.39430518245328866,-1.3094581248470598,0.20147644982668125
2000-08-31,0.7833637839282452,0.5696159383926442,-0.3939603642950343,-1.3057022381832062,-0.20158433293931338
2000-09-01,0.793256661590121,0.5670637493734131,-0.38767931983600107,-1.3181387029512408,-0.20021980582925653
2000-09-04,0.7947365640025459,0.5708175412304419,-0.3862193833318673,-1.312150665884482,-0.20018021127848817
2000-09-05,0.7887961240314517,0.5561211471790429,-0.3829435146755077,-1.3056020780288224,-0.20006368240295574
2000-09-06,0.7897263386119563,0.5555225509523253,-0.3822378911635106,-1.2860685939247523,0.19858528546333978
2000-09-07,0.7907389478777884,-0.5538470767069019,-0.38210392840134777,-1.2815995156924436,0.19937491474672087
2000-09-08,0.7997208501766699,-0.5540763165612081,-0.3791870197634894,-1.2873478368348126,-0.19431620957135803
2000-09-11,0.8020347446057674,-0.5550035672413902,-0.38145029008573045,-1.292191356892511,-0.19424962253850694
2000-09-12,0.8032260656654903,-0.5555252939679386,-0.3811908026272951,-1.2681923178881813,-0.19414679659300946
2000-09-13,0.8068954329898171,-0.5573944639474037,-0.3882825581560999,-1.2771048380475227,-0.1921886063826925
2000-09-14,0.8063003409017842,-0.5573750692366066,-0.3876225517373071,-1.2759015519782444,-0.19136095748602525
2000-09-15,0.806029208274322,0.5532483348543378,-0.38741232809857884,1.2667781508646432,-0.19183916307025725
2000-09-18,0.8146237414674607,0.5529830002521967,0.3869988456729838,1.2663159344679134,0.19164968237964425
2000-09-19,0.8000765549873443,0.5551732345259066,-0.38656857312853676,1.265942467771845,-0.1898795438011375
2000-09-20,0.7986986064489606,0.55766212710872,-0.38413596841840386,-1.2932444961204956,-0.19003686421844074
2000-09-21,0.8005391685782703,0.5606268154438532,-0.37710146718113485,-1.2914314569851473,-0.19420416197018117
2000-09-22,0.8006615557010357,-0.5719482766498152,-0.37732182134136255,-1.3018295359213794,-0.19459984506874914
2000-09-25,0.8019589156128787,-0.5810613502661424,-0.37704857635145683,-1.3020855409183727,-0.19502744764196508
2000-09-26,0.8031149307469376,-0.581319014463849,-0.39094887676360995,-1.313255670302243,-0.19621021407742162
2000-09-27,0.8306587646274864,-0.5814526439280921,-0.3910333650472816,-1.3080156597199917,-0.19590653308944345
2000-09-28,0.8372355726452345,-0.5863373345149075,-0.3913072896690779,1.3096299242859657,-0.19626039425516698
2000-09-29,-0.8371554761813316,0.5806911108211594,-0.3913333264290856,1.3133961162481556,-0.1962456093761851
2000-10-02,-0.8469389415645725,-0.5809411261372371,-0.38691228235914793,-1.305715594612209,-0.1974599572333468
2000-10-03,0.8473219350308389,0.5808984870585294,-0.3839137362527491,-1.30864047858061,-0.19481515760940932
2000-10-04,-0.8564007665851499,-0.5973489699825045,-0.3835370959439653,-1.314046832630552,-0.19815718237842844
2000-10-05,0.8606993072285077,-0.603363740910253,-0.3856356739065002,-1.3144520346446638,-0.19385223939338556
2000-10-06,-0.8540619042728004,0.6048555390452784,-0.38504372770216067,1.3266380295186506,-0.1937024064693475
2000-10-09,-0.8606725289050936,0.6074904771849043,-0.38521281378694994,1.304549565985423,-0.19393110445047218
2000-10-10,-0.8560181940725238,0.6054555640057885,-0.38217580423540987,1.3052383567214467,-0.19189797969113953
2000-10-11,-0.8571117218131605,0.6093315755897576,-0.38109816981428896,1.2846585074104384,-0.19279277282721763
2000-10-12,-0.8584750527329825,-0.6053233276764605,-0.3814543418449421,1.2914971542154539,-0.1928348971864969
2000-10-13,-0.8636692889789396,-0.5986354213438854,-0.3826407664877127,1.2896925164383062,-0.1918513111529845
2000-10-16,-0.8575427403038756,-0.5948424239440342,-0.38309663437963254,-1.2896185149841146,-0.1916337933249878
2000-10-17,-0.8667470544424382,-0.5967640952178865,-0.3808396483755157,-1.2873542373099658,-0.1903946551256863
2000-10-18,-0.8617753740230295,-0.5876679295818436,-0.3816022083373944,1.3129805721632029,-0.18999958511735904
2000-10-19,-0.8590748271831694,-0.574735518895586,-0.3797877891320852,-1.2825636509408773,-0.1919334745257468
2000-10-20,-0.8528900197283797,-0.5654832442845206,-0.3829887290938336,1.2823643233862165,-0.19443658079898427
2000-10-23,-0.8503699584563872,-0.5628201741576332,-0.3784962282137516,1.289157633374266,-0.19443658079898427
2000-10-24,-0.8485678173827294,-0.562651950830868,-0.37803954831704073,1.2711129548727669,-0.1994234982715996
2000-10-25,-0.8587494503421511,-0.5628564581759871,-0.3811055591344878,1.265231967590053,-0.19946909743832478
2000-10-26,-0.86263137218277,-0.5625970079991893,-0.38347834949628085,1.2664073217455643,-0.1994069839760581
2000-10-27,-0.8596539422008607,-0.5643485542095011,-0.38344339083058987,1.254219511564563,-0.1989708780395152
2000-10-30,-0.8529893027320603,0.5664710532982205,-0.38247736532101917,1.247400708243632,-0.19923502340919297
2000-10-31,-0.8320449500662797,0.5806583153743046,-0.38115823779008906,1.2594518370849643,-0.20821914234774216
2000-11-01,-0.8350006503091864,0.5769254238877823,-0.3811340134148646,-1.233816857401038,-0.20715239290933546
2000-11-02,-0.8349273047605683,0.5769287843643903,-0.3808440121371749,-1.228258416968944,-0.20707188460392975
2000-11-03,-0.8224223738226094,-0.5753624693671895,-0.38328000134258977,-1.2194550685084158,-0.20655314112122455
2000-11-06,-0.8335793913446934,-0.5776979554198933,-0.3868571821100455,-1.2051079498186483,-0.20628164221939288
2000-11-07,-0.8349695051952395,-0.5731493863816339,-0.38734106069621194,-1.2196074239881163,-0.20994104135124272
2000-11-08,-0.8331091761242102,0.5674419477940994,-0.3872457889321691,-1.2289213914462906,-0.21425159251768536
2000-11-09,-0.8330562724934077,-0.567783468360728,-0.3843996184324917,-1.2282093161112906,-0.21501298221193818
2000-11-10,-0.8401738822322227,0.5373092109832837,-0.3848405765460097,-1.2091500646573499,-0.21351495043809338
2000-11-13,-0.8402352719275223,0.5357876710986362,-0.38485092169407153,-1.183441897246196,-0.21481748238713666
2000-11-14,-0.821943566659124,0.5389281365120212,-0.3867118281704179,-1.1851236448890266,-0.2128409708520028
2000-11-15,-0.8255825805339796,0.5341235661861424,-0.3952114458144906,-1.189717683747078,-0.21283954385506387
2000-11-16,-0.8268162597126242,0.5256337816383952,-0.3937851187922027,-1.1727496631551144,-0.2130108920438542
2000-11-17,-0.8286673762202206,0.5224571263134377,-0.3944504027480023,-1.1763305765959167,-0.2128178724568989
2000-11-20,-0.8320659757289978,0.5170723439579894,-0.3942494065398606,-1.175713330988653,-0.21227835890516608
2000-11-21,-0.8236804755060385,0.4999711899902403,-0.3880683372978024,-1.1770784271897292,-0.2119969224833659
2000-11-22,-0.8230943348476621,0.5009126175454551,-0.38727479871002823,-1.1579915951815916,-0.21371484296022294
2000-11-23,-0.8186014556039525,-0.4974734058851632,-0.38843285588015836,-1.1636721245034274,-0.21361836499282855
2000-11-24,-0.8188264545166793,-0.49537102257852095,-0.39419380742198445,-1.1620093221525936,-0.21228954210263812
2000-11-27,-0.8192748098531958,-0.49215333994926336,-0.392069685545071,-1.1574888148091806,-0.21123739196389055
2000-11-28,0.8182799195943882,-0.4949109507344376,-0.39501147259836994,-1.1637225523126284,-0.21193477196935975
2000-11-29,0.8166239842074899,-0.477305219526201,-0.3953747272967597,-1.1638604743321272,-0.21197183094255204
2000-11-30,0.8120040106860954,0.47544028208439754,-0.40393474612250724,-1.162249456826874,-0.2133366065677763
2000-12-01,0.8119641266778546,0.47724748916510307,-0.41594002015688086,-1.1617434643108275,-0.2152569958820324
2000-12-04,0.8132487161342852,0.47392502693605604,-0.40885698647975693,-1.1581476833864341,-0.21421032715543278
2000-12-05,0.8130938563732704,0.47511331928063694,-0.4131883239110694,-1.1600748532286413,-0.21447958092159392
2000-12-06,0.8304971836131766,0.47414781553028174,-0.4149295081211278,-1.1598251421689216,-0.21382243421966854
2000-12-07,0.8271513635057168,0.4719376395016161,-0.41957904485549774,-1.1621529142122213,-0.2144421182262921
2000-12-08,0.8235955471476386,-0.45671319259271814,-0.41877475265048475,-1.1573368682179341,-0.2159460466394343
2000-12-11,0.8190063126051659,-0.45537770274966305,-0.421793507655936,-1.1492377866436463,-0.21562765442961498
2000-12-12,0.8199542386469617,-0.4568191634849207,-0.4221393847139442,-1.1377617208088109,-0.21362350725133772
2000-12-13,0.8225019318125594,-0.45635979119632947,-0.41220395567227996,-1.137585021838062,-0.21492365088701154
2000-12-14,0.8292341492627853,-0.45577544789214325,-0.4110139924689062,-1.1597253028864736,-0.21299752166524785
2000-12-15,0.8311188124701967,-0.455890810464588,-0.41923363380010037,-1.1515373872929018,-0.20689872650934021
2000-12-18,0.8398869823330107,-0.4437986557937421,-0.4181814702273332,-1.1739757984894905,-0.20400333028362835
2000-12-19,0.8328193416694949,-0.44371944042186334,-0.4181921110186183,-1.1729577867208447,-0.20326533827708113
2000-12-20,0.8325223081946234,-0.44224722755572005,-0.4150870090941555,-1.2080493272653958,-0.20236733435788234
2000-12-21,0.8256056524480031,-0.4451372875274428,-0.41501779665596084,-1.2064727647281146,-0.19825602304977127
2000-12-22,0.8215681649944668,0.4471352195650163,-0.41484691594376855,-1.1814208518546536,-0.19677170502246916
2000-12-26,0.8204027935911266,0.44795562142153467,-0.4148559119193703,-1.1848557468178866,-0.19692370889958144
2000-12-27,0.810734093767177,0.4475063604251314,-0.41609885520699863,-1.1840913236758521,-0.1943866991732449
2000-12-28,0.8102825828598063,-0.4448860344892558,-0.4169634243725843,-1.1968325849288095,-0.19245388538560043
2000-12-29,0.8289312509883284,-0.4462221649344391,-0.4224302075483163,-1.1676435983966615,-0.1916689480997617
2001-01-02,0.845185949795931,-0.43983318777442465,0.4209291087585992,-1.1691557043727707,-0.19270790194444365
2001-01-03,0.8427432441731773,-0.4398025595991652,0.41938045093807946,-1.1700004412657559,-0.19273028768967954
2001-01-04,0.8256579934725571,-0.4393961517127318,0.4186445282174506,-1.1702055018591548,-0.1871461494717042
2001-01-05,0.8500433129353817,-0.4399059127792603,0.41809988125994896,-1.1683064158100587,-0.1891443824755781
2001-01-08,0.8548176359249825,-0.4408579742225681,0.41759124836158373,-1.1670526358957394,-0.1878523845924956
2001-01-09,0.854129816245694,-0.437611157094832,0.4203514414233527,-1.1673706737581324,-0.18823099317326136
2001-01-10,0.8566709788784302,-0.4308037111289924,0.4203749511603373,-1.166072331781441,-0.1882479185375712
2001-01-11,0.854424080856746,0.43244065046228175,0.4228256860171529,-1.1663300670229124,-0.18843941437085993
2001-01-12,0.8718578060352676,0.43081022749950754,0.4286613300293163,-1.1692444116943903,-0.18805091356383732
2001-01-15,0.8707571103350444,0.4064322089986049,0.4337470337192295,-1.167283187427205,-0.18932008552729232
2001-01-16,0.8711693825125782,0.40591931204613274,0.4345896739900438,-1.1757726549388359,-0.18981834653037832
2001-01-17,0.8656863375632874,0.406787024150758,0.43140907454379623,-1.1779633492536148,-0.1879639676844621
2001-01-18,0.8617763340296449,0.40611716430147116,0.4311197155034203,-1.161179415306012,-0.18931591928895342
2001-01-19,0.8655400800568603,0.4094972507462427,0.4338052696455764,-1.1609986235876162,-0.18937429883382093
2001-01-22,0.8798955196659997,0.40992641136876673,0.43245318562907437,-1.1648494306355908,-0.1892944512375295
2001-01-23,0.8604641259780337,0.4008261041512407,0.43999362225067074,-1.1585844443004167,-0.1904476833256944
2001-01-24,0.860467948521657,0.39840577374136993,0.4406203952956635,-1.1565741640430829,-0.1901692832576019
2001-01-25,-0.8661768897147326,-0.39579614063668456,0.44783966512766477,-1.1499457597751437,-0.1899432707070606
2001-01-26,-0.841230353860348,-0.3921859347369711,0.44643075127154597,-1.162709738416853,-0.19253840667235828
2001-01-29,-0.8400991651094437,-0.38184686369733195,0.4466878852025247,-1.162709738416853,-0.19431758896927087
2001-01-30,-0.8409890586092483,-0.3817163148844719,0.44879904084121447,-1.164155397857438,-0.19909979840269731
2001-01-31,-0.8409926274325975,-0.38170296705563056,0.44666422368804226,-1.1658512122351552,-0.19837220280417983
2001-02-01,-0.8449798447460174,-0.382110706881711,0.4492530263363361,-1.189925707344311,-0.19848967012383742
2001-02-02,-0.8421513237962821,-0.37885346738380216,0.44768023196329826,-1.1890102101571542,-0.20063747086728473
2001-02-05,-0.8386325878510765,0.36280023604365774,0.447504299214032,1.1826735886084214,-0.20101970582102208
2001-02-06,-0.8389497928472239,0.36409069528405275,0.4477733935023462,1.1904373871688352,-0.20075014335556549
2001-02-07,-0.8411827329259202,-0.36323401511550923,0.4457986913959801,1.1911592433404157,0.20088859512168544
2001-02-08,-0.8572298091477093,-0.3612082733180971,0.44657313300601914,-1.1858483786239766,0.2036278809595968
2001-02-09,-0.8579320974851494,-0.3607341646608008,0.45276330650421576,1.1865285034138096,0.20366105853262756
2001-02-12,-0.8525211150009315,-0.36079428895296856,0.4663306224354723,-1.175749899485376,-0.20373501370440963
2001-02-13,-0.8511227053180612,-0.36122113977348613,0.4642042817015126,-1.1711352325755031,-0.20376653462718752
2001-02-14,-0.8516364577067987,-0.36003243923207284,0.4653528663192978,-1.1571214547264652,-0.20488182050304282
2001-02-15,-0.8506104970257582,-0.35993072144312643,0.4672774246246605,-1.1561257638006033,-0.20479670974846725
2001-02-16,-0.8433151225287393,-0.3594814768314732,0.4674093531915848,-1.1600576804299239,-0.2034117438259523
2001-02-19,-0.8447968002780191,-0.3534363121166858,0.4686401981995797,1.150896589816492,-0.20412317564915
2001-02-20,-0.8346509773551619,-0.3554175350246826,0.46868111603231544,1.1505468914329993,-0.2033799035211634
2001-02-21,-0.830667648588019,-0.35540873555510316,0.475718982154675,1.155766646930556,-0.20419274850379363
2001-02-22,-0.8306229450976592,-0.35537702248194997,0.4810934865651533,1.1503580802384836,-0.20618977456059576
2001-02-23,-0.8286315291973697,-0.35641384083025734,0.4813698714163986,1.1519025097510707,-0.2074169390863255
2001-02-26,-0.8296529973572966,-0.3528482882602536,0.4906310082902213,1.1521960815964873,-0.2128846720654426
2001-02-27,-0.8315965902573214,-0.35049856991363687,0.49180871755996564,1.1503078477567652,-0.2137843572185218
2001-02-28,0.8211863550809034,-0.34997004078460214,0.49180871755996597,1.1672346807574616,-0.2114335728323861
2001-03-01,0.8187550933121693,-0.34645014416754505,0.49839884902406645,1.1672752350997138,-0.2135157680866054
2001-03-02,0.8187528978786606,-0.34610727712230815,0.50089194352561,1.1849880091818277,-0.21279676656074265
2001-03-05,0.8093887125323183,-0.34605828148155476,0.496378296225357,1.1842964093728976,-0.21257505761049003
2001-03-06,0.8018939364489622,-0.34756591856054225,0.4976157258716757,1.1842964093728976,-0.2132169117643077
2001-03-07,0.8128665664017021,-0.3481475472526866,0.49624455043548726,1.1836325502269076,-0.21657748464339086
2001-03-08,0.8125329622108238,-0.34641733935541047,0.5036502115685965,1.1800931954035925,-0.21898655776132708
2001-03-09,0.8170125511110238,-0.3481813948401158,0.49940574858553466,1.1839278296561278,-0.21665216969121068
2001-03-12,0.8193762864417792,-0.35105305529362857,0.5044316678814447,1.1938445519423881,-0.21655090918809788
2001-03-13,-0.8249614919541028,-0.352486771189498,0.5014761993531804,1.1936684810314886,-0.21635822162702792
2001-03-14,-0.8263311523715671,-0.352517081513365,0.5084743644677746,1.1983630037988378,-0.21648886848455445
2001-03-15,0.8274846086501395,-0.353009161099502,0.5066063499676718,1.2126362186247097,-0.21719674071763662
2001-03-16,0.8254998751783363,-0.3526382256398072,-0.5069937349029227,1.2178154265974535,-0.2170519234193881
2001-03-19,-0.8227969985813027,-0.34507795086659016,-0.5020170147273155,1.2178154265974535,-0.21715428807672285
2001-03-20,-0.8337563983421473,-0.3450713764199848,-0.49698928813505516,1.2290216264020304,-0.21832366768657244
2001-03-21,-0.8437631921428788,-0.3450425354760218,-0.5055507712188926,1.2230652273364195,-0.21761497342807984
2001-03-22,-0.8367702782815516,-0.34152788354822555,-0.5031767074712196,1.2254349856103743,-0.2169230621443274
2001-03-23,-0.8375315127160107,-0.3415034466289753,-0.5022084840047616,1.23343762694973,-0.21710173436251187
2001-03-26,-0.836251366718086,-0.33710268935581744,-0.49862791855829197,1.2358428275250846,-0.21212921464711884
2001-03-27,-0.8464951978006517,-0.3374650319713862,-0.49348586241665315,1.2440832912583626,-0.2122261924156128
2001-03-28,-0.8458333085383741,-0.33649387034417927,-0.49379669520862074,1.2506039530543596,-0.2125712393781815
2001-03-29,0.8237617966764633,-0.3374031744110156,-0.4927953309022639,1.245448805389815,-0.21329350467008806
2001-03-30,0.8230271482410297,-0.33564107962403195,-0.4899093929737278,1.234781526943498,-0.21419085311515576
2001-04-02,0.8227229236792052,-0.33549688344402295,-0.4959726856556035,1.2378655328978683,-0.2141089610973152
2001-04-03,0.8186832020453563,-0.3426131147017762,-0.495613104932129,1.2500771555805135,-0.21565619816406267
2001-04-04,0.8159967999409979,-0.34298284600644985,-0.4938404080288992,1.2873723725080652,-0.21545600959964756
2001-04-05,0.832836671216814,-0.34225311549425713,-0.4899824876283704,1.2795541295255803,-0.21679316155078984
2001-04-06,0.8375532508420171,-0.3435413058508575,-0.4899763706508324,1.2769694675730154,-0.21634985645129495
2001-04-09,0.8391999745589438,-0.3461792953642953,-0.4925615347460714,1.295574845097176,-0.21688904362017963
2001-04-10,0.837600257982523,-0.3463563903945307,-0.4863799422230502,1.287709613429541,-0.21623019186682177
2001-04-11,0.833411179888275,-0.3494070335577601,-0.4858251497821966,1.2884790014253833,-0.21748890846539234
2001-04-12,0.8387101591760027,-0.3556575499333568,-0.49271098240377786,1.2880973408866703,-0.21793531791774104
2001-04-13,0.8198539248820899,-0.3539353380646444,-0.49475755511846453,1.3100793928238612,-0.21776989025862967
2001-04-16,0.8224248770439238,-0.35645842296735225,-0.4957085755824677,1.3266590435877967,-0.21554734358012986
